,Investigation.Type,Event.Date,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Report.Status,Event.Year
54904,Accident,2003-06-21,Fatal,Destroyed,Airplane,Cessna,Skydiving,1.0,2.0,2.0,1.0,Probable Cause,2003
61649,Accident,2006-11-04,Fatal,Destroyed,Airplane,Aircraft Mfg & Dev. Co. (amd),Personal,2.0,0.0,0.0,0.0,Probable Cause,2006
61787,Accident,2006-12-07,Fatal,Destroyed,Airplane,Mooney,Personal,1.0,0.0,0.0,0.0,Probable Cause,2006
61947,Accident,2007-01-15,Fatal,Substantial,Airplane,Partenavia,Personal,2.0,0.0,0.0,0.0,Probable Cause,2007
62114,Accident,2007-02-28,Fatal,Destroyed,Airplane,Ingraham,Ferry,1.0,0.0,0.0,0.0,Probable Cause,2007
62139,Accident,2007-03-07,Fatal,Destroyed,Airplane,Piper,Personal,3.0,0.0,0.0,0.0,Probable Cause,2007
62359,Accident,2007-04-19,Fatal,Substantial,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,Probable Cause,2007
62364,Accident,2007-04-20,Fatal,Substantial,Airplane,Cessna,Personal,3.0,0.0,0.0,0.0,Probable Cause,2007
62407,Accident,2007-04-26,Fatal,Substantial,Airplane,Piper Aircraft,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
62458,Accident,2007-05-03,Fatal,Destroyed,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,Probable Cause,2007
62476,Accident,2007-05-05,Non-Fatal,Minor,Balloon,Cameron Balloons,Other Work Use,0.0,2.0,2.0,8.0,Probable Cause,2007
62571,Accident,2007-05-23,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,1.0,0.0,Probable Cause,2007
62664,Accident,2007-06-08,Non-Fatal,Substantial,Airplane,Raytheon Aircraft Company,Business,0.0,2.0,2.0,0.0,Probable Cause,2007
62673,Accident,2007-06-10,Non-Fatal,Substantial,Airplane,Dassault-breguet,Executive/corporate,0.0,0.0,0.0,15.0,Probable Cause,2007
62878,Accident,2007-07-08,Fatal,Substantial,Airplane,Mooney,Personal,2.0,2.0,0.0,0.0,Probable Cause,2007
62928,Accident,2007-07-14,Fatal,Substantial,Glider,Burkhart Grob Flugzeugbau,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
62943,Accident,2007-07-15,Non-Fatal,Substantial,Airplane,Piper,Personal,0.0,1.0,0.0,0.0,Probable Cause,2007
63144,Accident,2007-08-11,Non-Fatal,Substantial,Airplane,Stout Gordon,Personal,0.0,0.0,2.0,0.0,Probable Cause,2007
63158,Accident,2007-08-12,Non-Fatal,Substantial,Airplane,Falcon Safety Craft Inc,Personal,0.0,1.0,0.0,0.0,Probable Cause,2007
63210,Accident,2007-08-19,Fatal,Substantial,Airplane,Niva,Personal,2.0,0.0,0.0,0.0,Probable Cause,2007
63221,Accident,2007-08-22,Non-Fatal,Substantial,Airplane,Beech,Personal,0.0,2.0,2.0,0.0,Probable Cause,2007
63234,Accident,2007-08-24,Fatal,Substantial,Airplane,Socata,Personal,2.0,0.0,0.0,0.0,Probable Cause,2007
63245,Accident,2007-08-25,Fatal,Destroyed,Airplane,Piper,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63254,Accident,2007-08-26,Fatal,Substantial,Airplane,Cessna,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63268,Accident,2007-08-30,Non-Fatal,Substantial,Airplane,Piper,Personal,0.0,0.0,0.0,1.0,Probable Cause,2007
63290,Accident,2007-09-01,Fatal,Destroyed,Airplane,Beech,Personal,5.0,0.0,0.0,0.0,Probable Cause,2007
63298,Accident,2007-09-02,Non-Fatal,Substantial,Airplane,Piper,Personal,0.0,0.0,0.0,2.0,Probable Cause,2007
63303,Accident,2007-09-02,Fatal,Destroyed,Airplane,Cessna,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63312,Accident,2007-09-03,Fatal,Substantial,Airplane,Yakovlev,Personal,2.0,0.0,0.0,0.0,Probable Cause,2007
63329,Accident,2007-09-06,Fatal,Destroyed,Airplane,Piper,Personal,3.0,0.0,0.0,0.0,Probable Cause,2007
63359,Accident,2007-09-11,Fatal,Substantial,Airplane,Grumman American,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63387,Accident,2007-09-14,Non-Fatal,Substantial,Airplane,Skykits,Personal,0.0,0.0,0.0,2.0,Probable Cause,2007
63411,Accident,2007-09-17,Non-Fatal,Substantial,Airplane,Root,Personal,0.0,1.0,1.0,0.0,Probable Cause,2007
63416,Accident,2007-09-19,Non-Fatal,Substantial,Airplane,Ortiz G/saint J,Personal,0.0,0.0,0.0,1.0,Probable Cause,2007
63430,Accident,2007-09-21,Fatal,Substantial,Airplane,Temco,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63436,Accident,2007-09-21,Fatal,Destroyed,Airplane,North American,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63438,Accident,2007-09-22,Fatal,Substantial,Airplane,Grumman,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63441,Accident,2007-09-22,Fatal,Substantial,Airplane,Cessna,Personal,1.0,1.0,0.0,0.0,Probable Cause,2007
63476,Accident,2007-09-30,Non-Fatal,Substantial,Airplane,Beech,Personal,0.0,0.0,2.0,0.0,Probable Cause,2007
63498,Accident,2007-10-04,Non-Fatal,Substantial,Airplane,Indus,Personal,0.0,1.0,1.0,0.0,Probable Cause,2007
63507,Accident,2007-10-05,Fatal,Substantial,Airplane,Bellanca,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63508,Accident,2007-10-05,Fatal,Substantial,Airplane,Piper,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63512,Accident,2007-10-06,Fatal,Substantial,Airplane,Bellanca,Glider Tow,1.0,0.0,0.0,0.0,Probable Cause,2007
63522,Accident,2007-10-07,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,0.0,2.0,Probable Cause,2007
63535,Accident,2007-10-07,Fatal,Destroyed,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,Probable Cause,2007
63599,Accident,2007-10-20,Non-Fatal,Substantial,Airplane,Ryan,Personal,0.0,0.0,0.0,1.0,Probable Cause,2007
63615,Accident,2007-10-23,Non-Fatal,Substantial,Airplane,Taylorcraft,Personal,0.0,0.0,1.0,1.0,Probable Cause,2007
63616,Accident,2007-10-23,Fatal,Substantial,Airplane,Piper,Instructional,2.0,0.0,0.0,0.0,Probable Cause,2007
63633,Accident,2007-10-26,Fatal,Destroyed,Airplane,Piper,Business,2.0,0.0,0.0,0.0,Probable Cause,2007
63645,Accident,2007-10-28,Fatal,Destroyed,Airplane,Grumman American,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63665,Accident,2007-11-01,Fatal,Destroyed,Airplane,"Wrb Associates, Llc.",Flight Test,1.0,0.0,0.0,0.0,Probable Cause,2007
63666,Accident,2007-11-02,Fatal,Substantial,Airplane,Kelly,Flight Test,1.0,0.0,0.0,0.0,Probable Cause,2007
63676,Accident,2007-11-03,Fatal,Substantial,Airplane,Cessna,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63681,Accident,2007-11-04,Fatal,Destroyed,Airplane,Blondin,Personal,2.0,0.0,0.0,0.0,Probable Cause,2007
63683,Accident,2007-11-05,Non-Fatal,Substantial,Airplane,Vans Aircraft,Personal,0.0,0.0,1.0,0.0,Probable Cause,2007
63695,Accident,2007-11-06,Fatal,Destroyed,Airplane,Cessna,Business,3.0,0.0,0.0,0.0,Probable Cause,2007
63700,Accident,2007-11-08,Non-Fatal,Substantial,Airplane,Beech,Personal,0.0,0.0,0.0,2.0,Probable Cause,2007
63702,Accident,2007-11-08,Fatal,Destroyed,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,Probable Cause,2007
63708,Accident,2007-11-09,Fatal,Destroyed,Airplane,Piper,Personal,3.0,0.0,0.0,0.0,Probable Cause,2007
63719,Accident,2007-11-11,Non-Fatal,Substantial,Airplane,Gulfstream Aerospace,Business,0.0,0.0,0.0,8.0,Probable Cause,2007
63722,Accident,2007-11-12,Non-Fatal,Substantial,Airplane,Piper,Positioning,0.0,0.0,0.0,1.0,Probable Cause,2007
63771,Accident,2007-11-26,Fatal,Substantial,Airplane,Cessna,Positioning,1.0,0.0,0.0,0.0,Probable Cause,2007
63775,Accident,2007-11-27,Fatal,Substantial,Airplane,Herink H R/herink R W,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63776,Accident,2007-11-27,Fatal,Destroyed,Airplane,Cessna,Personal,2.0,1.0,0.0,0.0,Probable Cause,2007
63778,Accident,2007-11-28,Fatal,Substantial,Airplane,Mooney,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63780,Accident,2007-11-28,Fatal,Substantial,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,Probable Cause,2007
63788,Accident,2007-11-29,Fatal,Destroyed,Airplane,Swearingen T R/masters W,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63793,Accident,2007-12-01,Non-Fatal,Substantial,Airplane,Porter Glen,Personal,0.0,1.0,0.0,0.0,Probable Cause,2007
63819,Accident,2007-12-08,Fatal,Substantial,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,Probable Cause,2007
63825,Accident,2007-12-09,Fatal,Substantial,Airplane,Beech,Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63830,Accident,2007-12-11,Fatal,Destroyed,Airplane,Beech,Personal,3.0,0.0,0.0,0.0,Probable Cause,2007
63833,Accident,2007-12-12,Fatal,Substantial,Airplane,"Wootton, John",Personal,1.0,0.0,0.0,0.0,Probable Cause,2007
63838,Accident,2007-12-13,Non-Fatal,Substantial,Airplane,Piper,Personal,0.0,0.0,2.0,0.0,Probable Cause,2007
63847,Accident,2007-12-15,Non-Fatal,Destroyed,Airplane,Mooney,Personal,0.0,1.0,1.0,0.0,Probable Cause,2007
63869,Accident,2007-12-20,Non-Fatal,Substantial,Airplane,Douglas,Public Aircraft - Federal,0.0,0.0,1.0,9.0,Probable Cause,2007
63874,Accident,2007-12-21,Fatal,Destroyed,Airplane,Cessna,Personal,2.0,0.0,0.0,0.0,Probable Cause,2007
63891,Accident,2007-12-26,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,0.0,1.0,Probable Cause,2007
63893,Accident,2007-12-26,Non-Fatal,Substantial,Airplane,Mooney,Personal,0.0,0.0,2.0,0.0,Probable Cause,2007
63900,Accident,2007-12-28,Non-Fatal,Substantial,Airplane,Hein,Personal,0.0,1.0,0.0,0.0,Probable Cause,2007
63906,Accident,2007-12-29,Fatal,Destroyed,Gyrocraft,Althouse,Personal,2.0,0.0,0.0,0.0,Probable Cause,2007
63913,Accident,2008-01-01,Non-Fatal,Substantial,Airplane,Barnard/Stancil,Personal,0.0,0.0,0.0,3.0,The departing pilot's inadequate visual lookout.,2008
63914,Accident,2008-01-01,Non-Fatal,Substantial,Airplane,Micco Aircraft Company,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control.  A contributing factor was the prevailing crosswind.,2008
63915,Accident,2008-01-02,Non-Fatal,Substantial,Airplane,Cessna,Instructional,0.0,0.0,0.0,1.0,the student pilot's premature flare resulting in the loss of aircraft control.,2008
63916,Accident,2008-01-02,Non-Fatal,Substantial,Airplane,Beech,Business,0.0,0.0,0.0,3.0,The pilot's inadequate compensation for wind conditions.  A factor in the accident was the wind gust.,2008
63919,Accident,2008-01-03,Non-Fatal,Substantial,Airplane,Costruzioni Aeronautiche,Personal,0.0,0.0,0.0,1.0,A loss of engine power due to the failure of company maintenance personnel to comply with engine manufacturers requirements for carburetor adjustment during the 100-hour inspection.,2008
63920,Accident,2008-01-04,Non-Fatal,Substantial,Airplane,American Champion (ACAC),Personal,0.0,0.0,0.0,2.0,The partial loss of engine power for undetermined reasons during cruise and the unsuitable terrain encountered during the precautionary landing.  A factor was the snow-covered ground.,2008
63921,Accident,2008-01-05,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,1.0,0.0,0.0,"The pilot's failure to follow the checklist and failure to achieve the proper touchdown point during a forced landing. Contributing to the accident was a loss of engine power due to a cracked No. 4 top sparkplug insulator, resulting in pre-ignition/detonation and the failure of the No. 2 connecting rod cap due to evacuation of the oil supply.",2008
63923,Accident,2008-01-05,Non-Fatal,Substantial,Airplane,DEAN PATRICK G,Personal,0.0,1.0,0.0,0.0,The reason for this occurrence was undetermined.,2008
63924,Accident,2008-01-05,Non-Fatal,Substantial,Airplane,Piper,Personal,0.0,0.0,0.0,2.0,A deer darting into the path of the airplane during the landing roll.,2008
63925,Accident,2008-01-06,Non-Fatal,Substantial,Airplane,Piper,Instructional,0.0,0.0,0.0,2.0,A loss of engine power due to inadequate maintenance inspection resulting in a worn throttle housing going undetected and failing.,2008
63926,Accident,2008-01-06,Non-Fatal,Substantial,Gyrocraft,McGuire,Personal,0.0,1.0,0.0,1.0,The pilot's inadequate compensation for wind conditions during the landing roll.  A factor was the gusting crosswind.,2008
63927,Accident,2008-01-06,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,0.0,2.0,The pilot's failure to maintain directional control during landing.  Contributing to the accident was the pilot's selection of an unsuitable landing area.,2008
63930,Accident,2008-01-07,Non-Fatal,Substantial,Airplane,Bellanca,Personal,0.0,0.0,0.0,2.0,The pilot's failure to maintain directional control.,2008
63936,Accident,2008-01-10,Fatal,Substantial,Airplane,Corsario,Personal,1.0,0.0,0.0,0.0,The pilot's failure to maintain clearance from terrain while maneuvering.,2008
63938,Accident,2008-01-10,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,0.0,2.0,The pilot's improper preflight and in-flight planning which resulted in a loss of engine power due to fuel exhaustion.,2008
63941,Accident,2008-01-11,Non-Fatal,Substantial,Airplane,Cessna,Instructional,0.0,0.0,0.0,1.0,The pilot's improper decision to takeoff from an inadequate field after a forced landing.,2008
63943,Accident,2008-01-12,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,0.0,2.0,The pilot's failure to maintain control of the airplane. Contributing factors in this accident were the unfavorable wind and the snow bank.,2008
63944,Accident,2008-01-12,Fatal,Substantial,Airplane,Cessna,Personal,4.0,0.0,0.0,0.0,The pilot's failure to maintain sufficient airspeed to avoid a stall during the landing approach.,2008
63945,Accident,2008-01-12,Non-Fatal,Substantial,Airplane,Ziermann,Personal,0.0,0.0,1.0,0.0,The loss of engine power for undetermined reasons during cruise and the misjudged flare resulting in a hard landing.  Contributing to the accident was the frozen lake to which the pilot performed a forced landing.,2008
63946,Accident,2008-01-12,Fatal,Substantial,Airplane,CESSNA,Personal,3.0,0.0,0.0,0.0,The pilot's failure to maintain airspeed while maneuvering for approach to land. Contributing to the accident was the pilot's operation of the airplane above the design gross weight.,2008
63948,Accident,2008-01-12,Non-Fatal,Substantial,Gyrocraft,Newbold,Instructional,0.0,0.0,0.0,2.0,The CFI's failure to maintain control of the gyrocopter which resulted in settling with power and the subsequent hard landing.  Factors associated with the accident were the CFI's decision to excessively flare the gyrocopter at a low altitude.,2008
63949,Accident,2008-01-12,Non-Fatal,Substantial,Airplane,Piper,Personal,0.0,0.0,0.0,1.0,The collapse of the right main landing gear during landing for undetermined reasons.,2008
